,标题,学校,门类/专业,招生人数,发布时间,链接
1412,自然资源部第一海洋研究所环境科学硕士调剂,,工学 -> 环境科学与工程  -> 环境科学,1,2020-02-22 11:00,http://muchong.com/t-14083539-1
1413,青岛科技大学招收化学工程调剂研究生（要求考数学）,青岛科大,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-22 10:55,http://muchong.com/t-14083509-1
1414,齐齐哈尔大学控制理论与控制工程学科接收电气信息类相关专业学硕和专硕调剂考生,齐齐哈尔大学,工学 -> 控制科学与工程  ,5,2020-02-22 10:52,http://muchong.com/t-14083494-1
1415,福州大学物理与信息工程学院王星辉课题组招收研究生（包括调剂）,福州大学,工学 -> 电子科学与技术  ,5,2020-02-22 10:51,http://muchong.com/t-14083487-1
1416,上海工程接收调剂研究生,上海工程,工学   ,3,2020-02-22 10:51,http://muchong.com/t-14083483-1
1417,广西民族大学2020年招收硕士生接受调剂,广西民族大学,工学 -> 化学工程与技术  ,1,2020-02-22 10:44,http://muchong.com/t-14083459-1
1418,福建农林大学接收调剂研究生,福建农林大学,工学   ,10,2020-02-22 10:36,http://muchong.com/t-14083407-1
1419,2020年齐齐哈尔大学接收化工，材料、环境（工科）方向的研究生，考数学,齐齐哈尔大学,工学 -> 化学工程与技术  -> 化学工程,5,2020-02-22 10:34,http://muchong.com/t-14083400-1
1420,广西大学机械工程学院杨望老师农业机械团队招生,广西大学,工学 -> 机械工程  -> 机械设计及理论,4,2020-02-22 10:34,http://muchong.com/t-14083399-1
1421,安徽理工大学材料学院盛老师课题组,安徽理工,工学 -> 材料科学与工程  ,2,2020-02-22 10:27,http://muchong.com/t-14083371-1
1422,上海应用技术大学贾润萍课题组招收调剂生3~4名,上海应用技术学院,工学 -> 材料科学与工程  ,3,2020-02-22 10:25,http://muchong.com/t-14083357-1
1423,河北科技大学 理学院 化学系，工学专硕调剂， qq：1647361363,河北科技,工学   ,10,2020-02-22 10:23,http://muchong.com/t-14083341-1
1424,河北科技大学 理学院 化学系，工学专硕调剂， qq：1647361363,河北科技,工学   ,10,2020-02-22 10:23,http://muchong.com/t-14083347-1
1425,中国矿业大学智慧瓦斯治理课题组招收调剂硕士研究生,中国矿业大学,工学   ,4,2020-02-22 10:20,http://muchong.com/t-14083317-1
1426,天津科技大学 植物资源化工与化学方向课题组 招收调剂研究生,天津科大,工学 -> 轻工技术与工程  -> 制浆造纸工程,5,2020-02-22 10:04,http://muchong.com/t-14083242-1
1427,天津科技大学 植物资源化工与化学方向课题组 招收调剂研究生,天津科大,工学 -> 轻工技术与工程  -> 制浆造纸工程,5,2020-02-22 10:04,http://muchong.com/t-14083243-1
1428,燕山大学环境与化学工程学院王丽秋教授（博导）课题组招收硕士研究生。,燕山大学,工学 -> 化学工程与技术  -> 化学工程,4,2020-02-22 10:03,http://muchong.com/t-14083240-1
1429,福建农林大学 材料工程学院 陈孝云接收化学化工类，材料化学类调剂研究生,福建农林大学,工学   ,5,2020-02-22 10:00,http://muchong.com/t-14083226-1
1430,删帖,安徽农大,工学 -> 光学工程  ,3,2020-02-22 10:00,http://muchong.com/t-14083220-1
1431,福建农林大学接收调剂研究生,,工学   ,5,2020-02-22 09:58,http://muchong.com/t-14083208-1
1432,青岛大学郭向欣课题组招收2020年硕士调剂生,青岛大学,工学 -> 材料科学与工程  ,4,2020-02-22 09:44,http://muchong.com/t-14083130-1
1433,2020青岛大学物理科学学院“功能材料与器件课题组”研究生调剂信息,青岛大学,工学   ,0,2020-02-22 09:37,http://muchong.com/t-14083094-1
1434,东北石油大学 化学化工学院 “国家杰青团队” 2020年硕士研究生招生,东北石油大学,工学   ,6,2020-02-22 09:34,http://muchong.com/t-14083082-1
1435,燕山大学化学相关专业,燕山大学,工学 -> 化学工程与技术  -> 化学工程,6,2020-02-22 09:29,http://muchong.com/t-14083045-1
1436,招纺织、材料、物理、化学相关调剂研究生――青岛大学仿生智能纺织品课题组,青岛大学,工学 -> 纺织科学与工程  ,6,2020-02-22 09:29,http://muchong.com/t-14083044-1
1437,调剂硕士生,山东大学,工学 -> 计算机科学与技术  ,0,2020-02-22 09:09,http://muchong.com/t-14082926-1
1438,2020年北京工商大学材料科学与工程系高分子功能复合材料实验室考研调剂信息,北京工商大学,工学 -> 材料科学与工程  -> 材料加工工程,4,2020-02-22 08:52,http://muchong.com/t-14082843-1
1439,淮海工学院接收调剂研究生,淮海工学院,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-02-22 08:48,http://muchong.com/t-14082825-1
1440,哈工程接收调剂研究生,哈工程,工学 -> 动力工程及工程热物理  ,3,2020-02-22 08:48,http://muchong.com/t-14082833-1
1441,大连工业大学 材料科学与工程专业（高分子材料）  2020 接收考研调剂学生  必须考数学,大连工大,工学 -> 材料科学与工程  -> 材料学,5,2020-02-22 08:36,http://muchong.com/t-14082764-1
1442,停止招生,山东农大,工学 -> 机械工程  ,1,2020-02-22 08:33,http://muchong.com/t-14082747-1
1443,深水油气管线关键技术与装备北京市重点实验室接受多个专业研究生调剂,北京石油化工学院,工学   ,10,2020-02-22 08:26,http://muchong.com/t-14082719-1
1444,西安工大接收调剂研究生,西安工大,工学 -> 材料科学与工程  ,2,2020-02-22 08:25,http://muchong.com/t-14082717-1
1445,东北石油大学-女王大学（加拿大） 国际合作联合实验室 硕士招生,东北石油大学,工学 -> 化学工程与技术  ,6,2020-02-22 08:24,http://muchong.com/t-14082710-1
1446,辽宁石油化工大学招收部分研究生调剂,辽宁石化,工学   ,4,2020-02-22 08:22,http://muchong.com/t-14082703-1
1447,河南理工接收调剂研究生,河南理工,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-22 08:00,http://muchong.com/t-14082634-1
1448,河北工程接收调剂研究生,河北工程,工学 -> 工程[专]  -> 矿业工程,5,2020-02-22 01:47,http://muchong.com/t-14082376-1
1449,上海工程技术大学材料工程学院叶欣博士招收材料加工工程2020届硕士研究生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,3,2020-02-21 23:45,http://muchong.com/t-14082098-1
1450,海南大学接收调剂研究生,海南大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-21 23:33,http://muchong.com/t-14082072-1
1451,江苏大学 环境与安全工程学院 新型生物基及纤维素复合材料方向招收硕士/接受调剂,江苏大学,工学 -> 环境科学与工程  -> 环境科学,2,2020-02-21 22:37,http://muchong.com/t-14081970-1
1452,中国民用航空飞行学院飞行运行技术研究中心（因复试未开始，暂时关闭）,中国民航飞行学院,工学 -> 交通运输工程  -> 载运工具运用工程,0,2020-02-21 22:18,http://muchong.com/t-14081940-1
1453,福建农林大学材料工程学院“木质功能材料研究团队” 硕士博士招生/调剂信息,福建农林大学,工学 -> 林业工程  ,3,2020-02-21 22:15,http://muchong.com/t-14081935-1
1454,中国矿业大学选矿工程研究中心接受2020硕士研究生调剂生,中国矿业大学,工学 -> 矿业工程  -> 矿物加工工程,5,2020-02-21 22:14,http://muchong.com/t-14081931-1
1455,中国矿业大学选矿工程研究中心接受2020硕士研究生调剂生,中国矿业大学,工学 -> 矿业工程  -> 矿物加工工程,5,2020-02-21 22:14,http://muchong.com/t-14081930-1
1456,中国矿业大学选矿工程研究中心接受2020硕士研究生调剂生,中国矿业大学,工学 -> 矿业工程  -> 矿物加工工程,5,2020-02-21 22:14,http://muchong.com/t-14081928-1
1457,辽宁石化接收调剂研究生,辽宁石化,工学 -> 化学工程与技术  -> 应用化学,3,2020-02-21 22:13,http://muchong.com/t-14081927-1
1458,上海工程技术大学李文尧副教授课题组2020年研究生招生,上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-02-21 22:01,http://muchong.com/t-14081902-1
1459,接受化工、化学、制药、等专业的调剂生,五邑大学,工学 -> 化学工程与技术  ,10,2020-02-21 21:59,http://muchong.com/t-14081896-1
1460,长春大学接收调剂研究生,长春大学,工学 -> 机械工程  -> 机械制造及其自动化,10,2020-02-21 21:47,http://muchong.com/t-14081860-1
1461,中国石油大学（北京）接收调剂研究生,中国石油大学（北京）,工学 -> 化学工程与技术  -> 化学工程,4,2020-02-21 21:42,http://muchong.com/t-14081855-1
1462,浙江海洋接收调剂研究生,浙江海洋,工学 -> 水利工程  -> 港口、海岸及近海工程,3,2020-02-21 21:38,http://muchong.com/t-14081844-1
1463,福建农林大学材料工程学院“木质功能材料研究团队” 研究生招生,福建农林大学,工学 -> 林业工程  -> 木材科学与技术,2,2020-02-21 21:25,http://muchong.com/t-14081821-1
1464,北京石油化工学院千人团队招收2020年硕士研究生调剂,北京石油化工学院,工学   ,10,2020-02-21 21:15,http://muchong.com/t-14081789-1
1465,湖北工业大学接收调剂研究生,湖北工业大学,工学 -> 生物工程  ,3,2020-02-21 21:06,http://muchong.com/t-14081767-1
1466,中国石油大学（华东）过程模拟与控制课题组接收化学工程考生，请备注分数,中国石油大学（华东）,工学 -> 化学工程与技术  -> 化学工程,4,2020-02-21 20:39,http://muchong.com/t-14081704-1
1467,哈尔滨工程大学信通学院王桐老师团队招收2020级调剂硕士,哈工程,工学 -> 信息与通信工程  ,6,2020-02-21 20:33,http://muchong.com/t-14081684-1
1468,安徽工业大学冶金工程专业氧化物冶金与新材料方向接收3名调剂生,安徽工业大学,工学 -> 治金工程  ,3,2020-02-21 20:23,http://muchong.com/t-14081652-1
1469,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 化学工程,16,2020-02-21 18:35,http://muchong.com/t-14081332-1
1470,2020年哈尔滨工程大学青岛团队招收硕士研究生调剂（材料、自动化、信通）,哈工程,工学 -> 材料科学与工程  ,0,2020-02-21 18:01,http://muchong.com/t-14081186-1
1471,哈工程接收调剂研究生,哈工程,工学 -> 动力工程及工程热物理  -> 动力机械及工程,2,2020-02-21 18:01,http://muchong.com/t-14081182-1
1472,哈工程接收调剂研究生,哈工程,工学 -> 动力工程及工程热物理  -> 工程热物理,2,2020-02-21 18:00,http://muchong.com/t-14081175-1
1473,南京林业大学轻工与食品学院2020年研究生调剂信息,南京林大,工学 -> 轻工技术与工程  ,25,2020-02-21 17:55,http://muchong.com/t-14081149-1
1474,哈工程接收调剂研究生,哈工程,工学 -> 船舶与海洋工程  -> 轮机工程,2,2020-02-21 17:54,http://muchong.com/t-14081146-1
1475,合工大调剂,合肥工大,工学 -> 计算机科学与技术  ,5,2020-02-21 17:53,http://muchong.com/t-14081140-1
1476,天津科技大学化工与材料学院姜涛教授课题组招收调剂硕士研究生,天津科大,工学 -> 化学工程与技术  -> 化学工程,10,2020-02-21 17:47,http://muchong.com/t-14081101-1
1477,欢迎有志青年到湘潭大学环境科学与工程一级硕士点攻读硕士学位,湘潭大学,工学 -> 环境科学与工程  -> 环境科学,2,2020-02-21 17:46,http://muchong.com/t-14081098-1
1478,五邑大学生物科技与大健康学院招收化工硕士研究生生调剂,五邑大学,工学 -> 化学工程与技术  -> 化学工艺,1,2020-02-21 17:34,http://muchong.com/t-14081041-1
1479,五邑大学生物科技与大健康学院招收化工硕士研究生生调剂,五邑大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-21 17:34,http://muchong.com/t-14081041-1
1480,燕山大学环境与化学工程学院 特种材料研究课题组招收2020年化学化工专业硕士调剂生,燕山大学,工学 -> 化学工程与技术  ,8,2020-02-21 17:25,http://muchong.com/t-14081000-1
1481,中国石油大学华东模拟与控制课题组接收化工调剂生，加好友请备注本科学校，分数,中国石油大学（华东）,工学 -> 化学工程与技术  -> 化学工程,4,2020-02-21 17:22,http://muchong.com/t-14080989-1
1482,江苏师范大学接收调剂研究生,江苏师范大学,工学 -> 光学工程  ,1,2020-02-21 17:04,http://muchong.com/t-14080915-1
1483,重庆大学-新加坡国立大学能源材料与器件联合实验室招收硕士生(非调剂！！),重庆大学,工学 -> 动力工程及工程热物理  ,5,2020-02-21 17:03,http://muchong.com/t-14080909-1
1484,哈工程光子材料课题组接收光学工程，光学调剂研究生,哈工程,工学 -> 光学工程  ,4,2020-02-21 16:50,http://muchong.com/t-14080831-1
1485,景德镇陶瓷大学材料学院-功能陶瓷材料与器件创新团队,景德镇陶瓷学院,工学 -> 材料科学与工程  -> 材料学,4,2020-02-21 16:30,http://muchong.com/t-14080683-1
1486,2020年燕山大学宗教授课题组(仪器科学与技术、仪器仪表工程)招收研究生，接收调剂生,燕山大学,工学 -> 仪器科学与技术  -> 精密仪器及机械,0,2020-02-21 16:22,http://muchong.com/t-14080641-1
1487,2020年燕山大学宗教授课题组(仪器科学与技术、仪器仪表工程)招收研究生，接收调剂生,燕山大学,工学 -> 工程[专]  -> 仪器仪表工程,0,2020-02-21 16:22,http://muchong.com/t-14080641-1
1488,五邑大学接收调剂研究生,五邑大学,工学 -> 环境科学与工程  -> 环境工程,2,2020-02-21 16:15,http://muchong.com/t-14080600-1
1489,五邑大学接收环境，生物，化学和水工程类调剂研究生,五邑大学,工学 -> 环境科学与工程  -> 环境工程,2,2020-02-21 16:14,http://muchong.com/t-14080593-1
1490,上海海事大学船舶与海洋工程材料学术硕士招收调剂生,上海海事,工学 -> 材料科学与工程  -> 材料学,2,2020-02-21 16:13,http://muchong.com/t-14080590-1
1491,青岛科技大学高分子科学与工程学院课题组招收调剂生,青岛科大,工学 -> 材料科学与工程  -> 材料学,3,2020-02-21 16:09,http://muchong.com/t-14080557-1
1492,北京工商大学 轻工学院 材料与化工专业硕士 接受调剂（4-6人）,北京工商大学,工学 -> 工程[专]  -> 化学工程,4,2020-02-21 15:59,http://muchong.com/t-14080514-1
1493,辽宁工程技术大学接收调剂研究生,辽宁工程技术大学,工学 -> 力学  -> 一般力学与力学基础,6,2020-02-21 15:58,http://muchong.com/t-14080510-1
